text,label,domain
韦里安纳大学获得一个通讯和新闻系学士学位，并于哈佛大学约翰·F·甘迺迪政府学院获得公共管理系硕士学位。她在那时候亦是一位梅森学者。卡瓦列罗于16岁时已经开始其记者生涯。当时，她开始为波哥大报纸《共和国报》（La República）工作。卡瓦列罗指出，她作为一个在「大男子主义」社会中工作的女记者，起初她经常获分配较难的工作。但是，她指出自己渐渐懂得享受记者的工作，并开始变成一个工作狂。之后，她转往哥伦比亚最大的报纸《时间》（El Tiempo）担任调查编辑一职，并于新闻杂志《改变》（Cambio）兼职。从1998年到2001年，她转往周刊《一周》（Semana）担任调查主任一职。 她写的文章亦曾出现于《纽约时报》、《新闻周刊》、CNN、《波士顿环球报》、《迈阿密先驱报》、以及《国际先驱论坛报》。《哥伦比亚新闻评论》和《尼曼报告》亦曾刊登其文章。卡瓦列罗指出至少有一打哥伦比亚政客因其报道而入狱。于1997年，她获允许访问哥伦比亚右派准军事部队领袖之一卡洛斯·卡斯塔诺·吉尔。卡瓦列罗乘坐了8小时的马方能到达卡斯塔诺的藏身之地。在采访中，卡斯塔诺第一次表示自己有意进行和谈。 于1999年，卡瓦列罗多次收到死亡威胁。而且，当时亦有一位持枪的保安人员在其居所外等候她。在哈佛大学约翰·F·甘迺迪政府学院院长约瑟夫·奈尔的邀请下，她离开了哥伦比亚，并移民至美国麻萨诸塞州剑桥。于1993年，卡瓦列罗获《时代》华盛顿特区分部承认为阿尔弗雷德友好出版社资深会员。于1997年，她获哈佛大学承认为尼曼资深会员。于1991年，她因报道政府腐败而获颁哥伦比亚西蒙玻利瓦尔国家新闻奖。于1998年，她因访问卡斯塔诺而再次获颁此奖项。于1990年，美洲报业协会颁予卡瓦列罗人权奖。于1999年11月，她获保护记者委员会颁发国际新闻自由奖。,0,wiki
）林爽文起事，竹堑城失陷，程峻殉职，同春亦被贼人俘获获。贼首王作等，以刀威胁其投降。同春说了一番大道理给王作等人听，并求一死。王作等人听了觉得有道理，就又放开他，立即以礼相待，且表示愿意听从其谋划的计策。同春遂佯装答应投降，并遣人暗中通知把总陈兴世等人，令其散布内地援兵已到的消息，义勇纷纷响应。贼人闻风而逃，同春也趁此时偷偷溜了出来。逃出来没多久又马上到各个村庄叫来所有的村民，并对其说：“我与若皆皇朝百姓义不可从贼从贼必死不如击贼贼乌合可杀贼报国也”众人听了甚是感动，遂拿起棍棒反攻，收复竹堑城、并生擒王作等贼首。乾隆五十二年（1787年）十月，福建闽安协副将徐鼎士等渡大甲溪进军讨伐，同春率领义民驻守乌牛栏，至三十张犂时遇到埋伏，同春不慎从马上跌下被擒，贼人百般劝诱皆不为所动，贼人拿刀威胁亦骂不绝口，遂惨遭贼人支解而亡。道光六年（1826年）福建水师提督许松年为他在殉难处建寿公祠纪念，永供世人景仰膜拜，并于春秋两季祭祀。,0,wiki
口为555人。,0,wiki
，西面则隔圣克莱尔河与美国密芝根州圣克莱尔县对望，总面积为3002.07平方公里。据2011年人口普查所示，兰布顿县有126199名居民，人口密度约为每平方公里42人。兰布顿县行政中心位于怀俄明镇，而萨尼亚市则是该县人口最多的城市。兰布顿县于1850年脱离肯特县，但行政上则仍与肯特县和艾塞克斯县联合管理。肯特县于1851年自组政府；艾塞克斯县和兰布顿县则维持联合管理安排，到1853年两县正式分治，各设县级政府。兰布顿县是以1838年-39年间担任加拿大省总督的第一代杜林伯爵约翰·兰布顿（）命名。兰布顿县的经济支柱为石油化工业和旅游业。安大略402号省道为此地的主要干道，全程达高速公路资格，东端在伦敦市驳上401号省道，西端则在爱德华角驳上蓝水大桥通往美国，在对岸驳上69号和94号州际公路。21号和40号省道的终点亦位于兰布顿县内：21号省道向北经戈德里奇通往奥云湾；40号省道北端在萨尼亚与402号省道交汇，自此向南通往查塔姆-肯特。此外，兰布顿县政府亦维护一系列县道。维亚铁路每天营运一班客运列车来往萨尼亚和多伦多，为魁北克市-温莎走廊铁路服务的一部分。来往萨尼亚和多伦多皮尔逊国际机场的航班在萨尼亚克里斯·哈德菲尔德机场（）起降。,0,wiki
后又担任北京美大星巴克咖啡有限公司董事长并将星巴克引进中国大陆。孙大伟出生于天津；他的父亲孙湘德是一位中华民国陆军将官，他的母亲是宋景宪，他的祖父是孙连仲，他的外祖父是宋哲元。孙大伟是家中第四个儿子，他有兄长孙大强与弟弟孙大棣、孙大宇。孙大伟在两岁时因国共内战移居香港，后成长于台湾，又于中学毕业后至澳洲、美国求学并取得后者国籍移民当地担任电脑软体工程师。1978年，孙大强与孙大伟在招待友人鲍比·关（Robert Kuan）至拉斯维加斯游玩时共同兴起将麦当劳引进亚洲的念头。1979年，鲍比·关向麦当劳提出在新加坡开设麦当劳之计划案，并于随后获该公司同意；此后，麦当劳出资50%、鲍比·关与孙大强合资出资17%，并由鲍比·关担任新加坡麦当劳董事长。1983年，孙大强、孙大宇、孙大伟兄弟三人以境外华人身分成立「宽达食品股份有限公司」，经鲍比·关与麦当劳公司连系保证在一年内取得营业执照并终获对方同意。孙大伟透过衣复恩之子衣治凡向经济部投资审议委员会提出申请，孙大强亲自对各主管部会首长进行游说，最终由投审会主委黎昌意通过投资案并顺利取得营业执照。此后，孙氏兄弟与麦当劳公司以各自持股50％合资成立「台湾麦当劳餐厅股份有限公司」将其品牌事业引入台湾；孙大伟更招考大批干部，并带领其中六位至芝加哥汉堡大学受训。1984年1月28日，台湾麦当劳在台北市民生东路三段开设第一间门市「台北民生店」，并于随后快速扩展；此时，孙大伟为宽达食品与台湾麦当劳之董事长，并掌握二者实际经营权。1993年5月，因为帐目问题以及部份经理人利用台湾麦当劳炒作房地产，孙家兄弟因此被迫将经营权交还麦当劳公司，并仅只保留持有股份。1998年，孙大伟取得星巴克咖啡中国区代理权，成立「北京美大咖啡有限公司」。1999年1月，美大咖啡在北京开设第一间星巴克咖啡门市，随后在中国北方拓展据点。,0,wiki
：主要是提醒僧人保持独身生活，另外也是繁殖力和人生的象征。 其长度大约为60厘米。传说，额尔德尼召一位僧人曾发誓要独身，但他原来是个好色之徒。作为惩罚，他被阉割，以提醒他想起自己的独身誓言。作为对额尔德尼召其他僧众的警告，一块岩石被雕刻成阴茎形状，称为“哈拉和林石”，放在距离额尔德尼召不远处，提醒僧众不应沉迷于与当地妇女的任何性行为。《Lonely Planet》称这块大石头“色情地指向一个有趣的所谓‘阴道坡（vaginal slope）’” ，后者隐藏在一个小山谷中，位于额尔德尼召东南方向大约2公里处。流经这片玄武岩区域的河流源自Gyatruu山脉，流向哈拉和林苏木。可以从大路经过一条好走的小路到达哈拉和林石。哈拉和林石可以从起自乌兰巴托的大路上望见， 该石头距离哈拉和林山1公里。许多游客希望参观该石头，许多妇女也来此祈祷能生育子女。 此外，还有四块龟状的石头（龟被视为保护和永恒的象征）标记着额尔德尼召四个方向的界线。这四块石头的背上刻有它们的历史。,0,wiki
14377988903等。,0,wiki
下山，于是将士们也都攀缘山崖树木，鱼贯而进。镇西将军钟会正在攻打剑阁，派将军田章等从剑阁西前去江油，田章在距离江油不到百里处击破蜀军三队伏兵，会合邓艾，邓艾让田章先登。邓艾奇兵出现在江油，守将马邈投降。不久，邓艾灭蜀汉。马邈得知汉中已失后，虽然防备魏军，但只提防大路，又仗着姜维全军守住剑阁，不重视军情。当日操练人马回家，与妻李氏围着炉子饮酒。李氏问马邈为何屡闻边情甚急却全无忧色，马邈说大事自有姜维掌握，李氏说虽然如此马邈所守城池也重要。马邈说天子听信黄皓，溺于酒色，他料到祸不远了，如果魏兵到了，降之为上策，何必顾虑。李氏大怒，将唾沫吐在马邈脸上，说马邈身为男子却先怀不忠不义之心，枉受国家爵禄，无面目与他相见。马邈羞惭无语。忽然马邈家人慌忙入报说邓艾不知从何而来，引着二千余人一拥入城。马邈大惊，慌忙出去投降，拜伏于公堂之下，哭泣告称自己早就有心归降，愿招城中居民及本部人马尽降。邓艾准之，于是接收江油军马于部下调遣，即用马邈为向导官。忽报李氏自缢身死。邓艾向马邈问得实情，感其贤，令厚礼葬之，亲往致祭。魏人听闻的无不嗟叹。后人有诗赞：“后主昏迷汉祚颠，天差邓艾取西川。可怜巴蜀多名将，不及江油李氏贤。”邓艾得到马邈所献地理图一本，备写涪城至蜀汉都城成都三百六十里山川道路，阔狭险峻，一一分明，看完后大惊，认为一旦被蜀军据住前山，迁延日久，姜维兵到，本军危险，于是唤部将师纂、子邓忠，吩咐他们引一军星夜去绵竹抵挡蜀军，自己随后便至，不可让蜀军先占险要。,0,wiki
原著改编，根据章节共拍摄有三部：,0,wiki
发生于十二指肠近端，及食道远端。上升患者的迷走神经核会受到刺激而活化。迷走神经会释放乙酰胆碱刺激胃壁细胞的，导致活化，胃酸分泌增加而侵蚀胃壁。,0,wiki
